Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
119,0.704164,2.16851,1.22235,0.941696,0.118363,0,0.949105,0.09181,0.0412064,0,0.100633,0.611554,-0.867068,0.868481,1.33732,0.16809,0,1.34785
120,0.700516,2.15854,1.22787,0.941536,0.105812,0,0.947463,0.10113,0.0423131,0,0.109625,0.607122,-0.876959,0.866678,1.34406,0.151049,0,1.35252
121,0.697748,2.15097,1.23209,0.941443,0.0948285,0,0.946207,0.11085,0.0433462,0,0.119024,0.603759,-0.884466,0.865297,1.34926,0.135907,0,1.35609
122,0.696269,2.14692,1.23435,0.941681,0.085221,0,0.94553,0.12095,0.0443095,0,0.128811,0.601964,-0.888472,0.864558,1.35247,0.122397,0,1.358
123,0.696036,2.14623,1.23444,0.942142,0.0768148,0,0.945268,0.13144,0.0452096,0,0.138998,0.601742,-0.888968,0.864528,1.35358,0.11036,0,1.35807
124,0.696617,2.14779,1.23344,0.942917,0.0694571,0,0.945472,0.14229,0.0460494,0,0.149556,0.602472,-0.88734,0.864854,1.35357,0.0997064,0,1.35723
125,0.697436,2.15001,1.23211,0.943698,0.063001,0,0.945799,0.15349,0.0468338,0,0.160476,0.603484,-0.885081,0.865289,1.3531,0.0903324,0,1.35611
126,0.698492,2.15289,1.23045,0.944513,0.0573404,0,0.946252,0.16504,0.0475682,0,0.171758,0.604776,-0.882195,0.865832,1.35222,0.0820917,0,1.35471
127,0.699824,2.15649,1.22825,0.945301,0.0523764,0,0.946751,0.17693,0.0482568,0,0.183393,0.606434,-0.878495,0.866553,1.35077,0.0748423,0,1.35284
128,0.701397,2.16076,1.22573,0.946168,0.0480311,0,0.947386,0.18914,0.0489035,0,0.19536,0.608375,-0.874164,0.867376,1.34898,0.0684792,0,1.35071
129,0.703131,2.16547,1.22299,0.947058,0.0442282,0,0.948091,0.20166,0.0495122,0,0.207649,0.61051,-0.869398,0.868274,1.34692,0.0629018,0,1.34838
130,0.705176,2.17104,1.21982,0.948068,0.0409006,0,0.94895,0.21447,0.0500864,0,0.220241,0.613017,-0.863802,0.86931,1.34444,0.0580005,0,1.34569
131,0.707785,2.17814,1.21581,0.949284,0.0379892,0,0.950044,0.22757,0.05063,0,0.233134,0.616212,-0.856669,0.870621,1.3412,0.0536734,0,1.34228
132,0.711082,2.18712,1.21077,0.950757,0.0354334,0,0.951417,0.24094,0.0511457,0,0.246309,0.620252,-0.847652,0.872265,1.33706,0.0498303,0,1.33798
133,0.714954,2.19766,1.2049,0.952428,0.0331747,0,0.953006,0.25457,0.0516363,0,0.259754,0.625,-0.837054,0.874182,1.33215,0.0464011,0,1.33296
134,0.719132,2.20902,1.19858,0.954159,0.0311555,0,0.954668,0.26845,0.0521039,0,0.27346,0.630136,-0.825588,0.876246,1.32682,0.0433238,0,1.32753
135,0.723379,2.22055,1.19216,0.955853,0.029321,0,0.956302,0.28255,0.0525499,0,0.287395,0.635374,-0.813898,0.878342,1.32137,0.0405333,0,1.32199
136,0.727566,2.2319,1.18583,0.957455,0.0276216,0,0.957853,0.29687,0.0529757,0,0.30156,0.640553,-0.802336,0.880406,1.31597,0.0379644,0,1.31652
137,0.731622,2.24288,1.17967,0.958934,0.0260092,0,0.959287,0.3114,0.0533822,0,0.315942,0.645591,-0.791092,0.88241,1.3107,0.03555,0,1.31118
138,0.735467,2.25327,1.17387,0.960302,0.0244372,0,0.960613,0.32611,0.0537688,0,0.330513,0.650372,-0.780419,0.884299,1.3057,0.0332268,0,1.30613
139,0.738901,2.26254,1.16868,0.961471,0.022858,0,0.961743,0.34099,0.0541352,0,0.34526,0.65466,-0.770849,0.885991,1.30122,0.0309352,0,1.30158
140,0.741781,2.27031,1.16433,0.962431,0.0212273,0,0.962665,0.35604,0.0544804,0,0.360184,0.65826,-0.762812,0.887405,1.29746,0.0286167,0,1.29778
141,0.744097,2.27655,1.16083,0.963188,0.0195008,0,0.963385,0.37123,0.0548021,0,0.375253,0.661162,-0.756335,0.888543,1.29444,0.0262074,0,1.2947
142,0.745962,2.28157,1.15798,0.963773,0.0176362,0,0.963934,0.38654,0.0550979,0,0.390447,0.663509,-0.751096,0.889467,1.29199,0.0236422,0,1.2922
