"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
152, 5.433599948880000e-01, 4.538103607830709e-02, 2.755013149749944e-01, -2.623631108733175e-01, 4.965821629474534e-02, 6.917916025264924e-02, 0.000000000000000e+00, 0.000000000000000e+00, -4.964122503793514e-02
153, 5.590599775310000e-01, 4.498295901576529e-02, 2.520799051533457e-01, -2.389008466573198e-01, 5.756732438659708e-02, 6.328132470572631e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.602617725432586e-02
154, 5.747100114820000e-01, 4.448146829360361e-02, 2.329354763333107e-01, -2.195044801931966e-01, 6.527350455557078e-02, 5.839750333773757e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.788003299308699e-03
155, 5.902799963950000e-01, 4.387426152072710e-02, 2.177657871820032e-01, -2.037901666909345e-01, 7.304430369254614e-02, 5.450722782367563e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.709512225754044e-02
156, 6.057599782940000e-01, 4.315947209258566e-02, 2.042715751676903e-01, -1.894872519972751e-01, 8.092681506329998e-02, 5.105809881418252e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.567959602203241e-02
157, 6.211299896240000e-01, 4.233678504870179e-02, 1.903341095633262e-01, -1.744978585710651e-01, 8.880652417295098e-02, 4.751580683680021e-02, 0.000000000000000e+00, 0.000000000000000e+00, 9.882874720568835e-03
158, 6.363800168040000e-01, 4.140660815714282e-02, 1.748563830656572e-01, -1.577105937603617e-01, 9.653377555202541e-02, 4.359605028536766e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.862530664624494e-03
159, 6.514999866490000e-01, 4.037049955500040e-02, 1.577301803797485e-01, -1.390703700180804e-01, 1.039508156962284e-01, 3.927422451859038e-02, 0.000000000000000e+00, 0.000000000000000e+00, -5.976451382141544e-03
160, 6.664699912070000e-01, 3.923200402897983e-02, 1.394121057847126e-01, -1.189928053850254e-01, 1.109154932665786e-01, 3.465394514619790e-02, 0.000000000000000e+00, 0.000000000000000e+00, -3.695809119163021e-03
161, 6.812700033190000e-01, 3.799620391956748e-02, 1.204828164482777e-01, -9.806901937601809e-02, 1.173922664330244e-01, 2.986532287085100e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.712635315464172e-03
162, 6.958900094030001e-01, 3.666876109014702e-02, 1.011548005223836e-01, -7.647757733299944e-02, 1.232436384747399e-01, 2.498170715953086e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.709526696506108e-03
163, 7.103199958800001e-01, 3.525653864778415e-02, 8.170517051827780e-02, -5.452276766777518e-02, 1.285015217686606e-01, 2.005272063869482e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.469250328319786e-03
164, 7.245299816130000e-01, 3.376970307154595e-02, 6.215102493174173e-02, -3.221896140663288e-02, 1.330275246651810e-01, 1.511026459426018e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.714470311492741e-03
165, 7.385200262070000e-01, 3.221655831179220e-02, 4.276682752187662e-02, -9.876826153237072e-03, 1.368714271607459e-01, 1.019604667059786e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.556472240413727e-03
166, 7.522799968720000e-01, 3.060731308290175e-02, 2.359545829775446e-02, 1.246088214070910e-02, 1.399123184421686e-01, 5.348809300961276e-03, 0.000000000000000e+00, 0.000000000000000e+00, -2.321751264728691e-03
167, 7.657799720760000e-01, 2.895546415641361e-02, 4.903450869123728e-03, 3.448455184429550e-02, 1.422439908304440e-01, 6.086230412459454e-04, 0.000000000000000e+00, 0.000000000000000e+00, -2.221532160642119e-03
168, 7.790099978450000e-01, 2.727295623790240e-02, -1.332307016814559e-02, 5.619644766069672e-02, 1.437557464819378e-01, -4.006502571800806e-03, 0.000000000000000e+00, 0.000000000000000e+00, -2.044714424952426e-03
169, 7.919700145720000e-01, 2.557084858412651e-02, -3.089881749260064e-02, 7.736800073124417e-02, 1.445575793133324e-01, -8.473259205457410e-03, 0.000000000000000e+00, 0.000000000000000e+00, -1.903202421565894e-03
