"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,         325,      -14.11301229,      -13.98286956,      -14.18795164
          0,           0,         326,      -14.01633969,      -13.87981113,      -14.17988881
          0,           0,         327,      -13.98348833,       -13.8744148,      -14.13213726
          0,           0,         328,       -14.0340193,      -13.92622804,      -14.16717396
          0,           0,         329,       -13.9927798,      -13.85593486,      -14.09820907
          0,           0,         330,      -14.04998173,      -13.93319816,      -14.16899103
          0,           0,         331,      -13.99507251,      -13.88848604,      -14.10562677
          0,           0,         332,      -14.15480783,      -14.02482035,      -14.24022022
          0,           0,         333,      -14.09644417,      -13.94449228,      -14.18397656
          0,           0,         334,      -13.95253553,      -13.81692096,      -14.09137618
          0,           0,         335,      -14.00185774,      -13.87407994,      -14.11650237
          0,           0,         336,      -13.98857251,      -13.87684621,      -14.08547974
          0,           0,         337,      -14.00000915,      -13.89126206,        -14.149806
          0,           0,         338,      -14.03040831,      -13.91797021,      -14.14159751
          0,           0,         339,      -14.02122704,      -13.90259115,      -14.13896002
          0,           0,         340,      -14.01424855,      -13.88597695,      -14.08337849
          0,           0,         341,       -13.9727396,      -13.83436246,       -14.1208942
          0,           0,         342,      -14.00234227,      -13.87289137,      -14.09193878
          0,           0,         343,      -14.00363833,      -13.85821576,      -14.14968654
          0,           0,         344,      -14.05639915,      -13.90279235,      -14.21037659
          0,           0,         345,      -14.07276889,         -13.94824,      -14.16688337
          0,           0,         346,      -14.07906106,      -13.94670853,      -14.12240257
          0,           0,         347,      -14.00229717,       -13.8826444,      -14.08579677
          0,           0,         348,      -13.97826711,      -13.86161302,      -14.13456934
          0,           0,         349,      -13.98265307,        -13.880565,      -14.07570422
          0,           0,         350,      -14.04068702,      -13.92388402,       -14.1787711
          0,           0,         351,      -14.10450483,      -13.96743034,      -14.17547389
          0,           0,         352,      -14.02563648,      -13.91234219,      -14.10962934
          0,           0,         353,      -14.01339398,      -13.87980264,      -14.14117491
          0,           0,         354,      -14.08384491,      -13.96308829,      -14.16069654
          0,           0,         355,      -14.02231109,      -13.90387158,      -14.12207982
          0,           0,         356,      -14.05366347,      -13.93364218,         -14.21159
          0,           0,         357,      -13.99747628,      -13.86032778,       -14.1177777
          0,           0,         358,      -14.01541512,      -13.89088331,      -14.11675734
          0,           0,         359,      -14.04475212,      -13.93019334,      -14.16227241
          0,           0,         360,      -14.04061492,      -13.93579454,      -14.15319133
          0,           0,         361,      -13.97541724,      -13.84240378,      -14.10310542
          0,           0,         362,      -13.99241522,      -13.86814738,      -14.11392138
          0,           0,         363,      -14.05970331,      -13.92252494,       -14.1957677
          0,           0,         364,      -13.97281036,      -13.84927759,      -14.09911885
          0,           0,         365,      -14.02878645,      -13.90518147,      -14.14489326
          0,           0,         366,      -14.03476677,      -13.90620049,      -14.09903966
          0,           0,         367,      -14.03218595,      -13.92461982,      -14.16966241
          0,           0,         368,      -14.02727871,      -13.91995451,      -14.17470879
          0,           0,         369,      -14.06181777,      -13.92570196,      -14.12087293
          0,           0,         370,      -14.04571774,      -13.91128022,      -14.14215717
          0,           0,         371,      -14.06478847,      -13.92574141,      -14.19480985
          0,           0,         372,      -14.03723278,      -13.89911548,      -14.11888135
          0,           0,         373,      -14.01810942,      -13.89365764,      -14.14479277
          0,           0,         374,      -13.98178958,       -13.8547107,      -14.14153603
          0,           0,         375,      -14.06612985,      -13.94720064,      -14.15489644
          0,           0,         376,      -14.06416302,      -13.95041548,      -14.19282495
          0,           0,         377,      -14.13410681,      -14.01411307,      -14.15481743
          0,           0,         378,      -14.01529873,       -13.8797435,      -14.11735648
          0,           0,         379,      -14.08275658,      -13.94318891,      -14.25328458
          0,           0,         380,      -14.10499487,      -13.97556858,      -14.19425264
          0,           0,         381,      -14.00508822,      -13.88288605,      -14.11000694
          0,           0,         382,      -14.11314883,      -14.01581398,      -14.22057759
          0,           0,         383,      -14.03585214,      -13.91423366,      -14.11622452
          0,           0,         384,      -14.10992753,      -13.98785316,      -14.20644436
          0,           0,         385,      -14.09067475,      -13.95961981,      -14.20505357
          0,           0,         386,      -14.05114795,      -13.91417141,       -14.1207396
          0,           0,         387,       -14.0518885,      -13.94061085,      -14.15430842
          0,           0,         388,      -14.05462828,      -13.96511258,      -14.14703523
          0,           0,         389,      -14.06874832,      -13.95169019,      -14.12094398
          0,           0,         390,      -14.04722821,      -13.92453682,       -14.1641927
          0,           0,         391,      -14.06514625,      -13.95005373,      -14.19156453
          0,           0,         392,      -14.11412422,      -14.00059068,      -14.16146211
          0,           0,         393,      -13.99416453,       -13.8660394,      -14.13971829
          0,           0,         394,      -13.97161521,      -13.85462479,      -14.11205642
          0,           0,         395,      -14.05918691,      -13.91169099,      -14.11804965
          0,           0,         396,      -13.97410253,      -13.85061603,      -14.08855136
          0,           0,         397,      -14.03351149,      -13.91961516,      -14.19941615
          0,           0,         398,      -14.10438343,      -13.98163173,      -14.14290914
          0,           0,         399,      -14.00945913,       -13.8872428,       -14.1270903
          0,           0,         400,      -14.12796327,       -14.0065262,      -14.18880215
          0,           0,         401,      -14.05132613,      -13.92349154,       -14.1132481
          0,           0,         402,      -13.94659978,      -13.81892711,      -14.08537648
          0,           0,         403,       -14.0247965,      -13.91485219,      -14.14491642
          0,           0,         404,       -14.0368104,      -13.89930442,      -14.17811267
          0,           0,         405,      -14.09769681,      -13.97826671,      -14.16227232
          0,           0,         406,      -14.04728593,      -13.92198293,      -14.18045105
          0,           0,         407,      -14.04882601,      -13.94105089,      -14.14531448
          0,           0,         408,      -14.02619401,      -13.89794655,      -14.13056409
          0,           0,         409,      -14.01646254,      -13.87837065,      -14.14893084
          0,           0,         410,      -14.12644154,      -14.00032025,      -14.18823643
          0,           0,         411,      -14.04756778,      -13.90830871,      -14.13238972
          0,           0,         412,      -14.05416618,      -13.93089783,      -14.15055634
          0,           0,         413,       -14.0521681,      -13.93820758,      -14.13519354
